target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Ken Griffin,Citadel founder and CEO,Anne Dias-Griffin,Aragon Global founder,ex-spouse,Married 2003-2015; both hedge fund founders,https://en.wikipedia.org/wiki/Anne_Dias-Griffin
Ken Griffin,Citadel founder and CEO,Peng Zhao,Citadel Securities CEO,executive,Runs Citadel Securities under Griffin's ownership,https://en.wikipedia.org/wiki/Citadel_Securities
Ray Dalio,Bridgewater founder,Bob Prince,Bridgewater co-CIO,executive,Co-CIO for three decades,https://en.wikipedia.org/wiki/Bridgewater_Associates
Ray Dalio,Bridgewater founder,Greg Jensen,Bridgewater co-CIO,executive,Longtime co-chief investment officer and protege,https://en.wikipedia.org/wiki/Bridgewater_Associates
Ray Dalio,Bridgewater founder,Karen Karniol-Tambour,Bridgewater co-CIO,executive,Elevated her to co-CIO in 2023,https://en.wikipedia.org/wiki/Karen_Karniol-Tambour
Ray Dalio,Bridgewater founder,Nir Bar Dea,Bridgewater CEO,executive,CEO running the firm after Dalio ceded control,https://en.wikipedia.org/wiki/Bridgewater_Associates
Ray Dalio,Bridgewater founder,Paul Dalio,filmmaker,family,Son; director of Touched with Fire,https://en.wikipedia.org/wiki/Paul_Dalio
Karen Karniol-Tambour,Bridgewater co-CIO,Ray Dalio,Bridgewater founder,executive,Elevated her to co-CIO in 2023,https://en.wikipedia.org/wiki/Karen_Karniol-Tambour
Steve Cohen,"Point72 founder, New York Mets owner",Alex Cohen,"philanthropist, Amazin' Mets Foundation",spouse,Married 1992; co-lead family foundation,https://en.wikipedia.org/wiki/Steve_Cohen_(businessman)
Steve Cohen,"Point72 founder, New York Mets owner",David Stearns,Mets president of baseball operations,executive,Hired to run Mets baseball operations in 2023,https://en.wikipedia.org/wiki/David_Stearns
David Tepper,"Appaloosa founder, Carolina Panthers owner",Nicole Tepper,Carolina Panthers co-owner,spouse,Married 2019; co-owner of the Panthers,https://en.wikipedia.org/wiki/David_Tepper
Bill Ackman,Pershing Square founder,Neri Oxman,MIT-trained designer and scientist,spouse,Married 2019,https://en.wikipedia.org/wiki/Neri_Oxman
Carl Icahn,Icahn Enterprises founder,Brett Icahn,Icahn Enterprises portfolio manager,family,Son and designated investment successor,https://en.wikipedia.org/wiki/Carl_Icahn
Dan Loeb,Third Point founder,Margaret Munzer Loeb,philanthropist,spouse,Married 2004,https://en.wikipedia.org/wiki/Daniel_S._Loeb
Paul Singer,Elliott Management founder,Gordon Singer,Elliott London head,family,Son; senior Elliott partner,https://en.wikipedia.org/wiki/Paul_Singer_(businessman)
Paul Singer,Elliott Management founder,Jesse Cohn,Elliott activism head,executive,Leads the activist practice,https://en.wikipedia.org/wiki/Elliott_Investment_Management
Paul Singer,Elliott Management founder,Jonathan Pollock,Elliott co-CEO,executive,Longtime co-chief executive,https://en.wikipedia.org/wiki/Elliott_Investment_Management
Seth Klarman,"Baupost founder, Margin of Safety author",Beth Klarman,philanthropist,spouse,Co-lead the Klarman Family Foundation,https://en.wikipedia.org/wiki/Seth_Klarman
Howard Marks,Oaktree cofounder,Andrew Marks,venture investor,family,Son; co-wrote the Something of Value memo,https://en.wikipedia.org/wiki/Howard_Marks_(investor)
Howard Marks,Oaktree cofounder,Bruce Karsh,Oaktree cofounder,cofounder,Oaktree cofounders 1995; partners since TCW,https://en.wikipedia.org/wiki/Bruce_Karsh
Cliff Asness,AQR cofounder,David Kabiller,AQR cofounder,cofounder,AQR cofounders 1998,https://en.wikipedia.org/wiki/AQR_Capital
Cliff Asness,AQR cofounder,John Liew,AQR cofounder,cofounder,Goldman quant colleagues; AQR cofounders 1998,https://en.wikipedia.org/wiki/AQR_Capital
Israel Englander,Millennium Management founder,Bobby Jain,Jain Global founder,executive,Former Millennium co-CIO who launched his own giant fund,https://en.wikipedia.org/wiki/Millennium_Management
Dmitry Balyasny,Balyasny Asset Management founder,Scott Schroeder,BAM cofounder,cofounder,Founding partners 2001,https://en.wikipedia.org/wiki/Balyasny_Asset_Management
Paul Tudor Jones,"Tudor founder, Robin Hood founder",Peter Borish,trader and philanthropist,colleague,Right-hand trader in the famous 1987 crash call,https://en.wikipedia.org/wiki/Peter_Borish
Stanley Druckenmiller,Duquesne founder,Fiona Druckenmiller,philanthropist,spouse,Married 1988; co-lead family foundation,https://en.wikipedia.org/wiki/Stanley_Druckenmiller
Stanley Druckenmiller,Duquesne founder,George Soros,Quantum Fund founder,mentor,Ran Quantum for Soros; the 1992 pound trade together,https://en.wikipedia.org/wiki/Stanley_Druckenmiller
George Soros,Open Society founder,Alex Soros,Open Society Foundations chair,family,Son; succeeded him as OSF chairman in 2023,https://en.wikipedia.org/wiki/Alex_Soros
George Soros,Quantum Fund founder,Stanley Druckenmiller,Duquesne founder,protege,Ran Quantum for Soros; the 1992 pound trade together,https://en.wikipedia.org/wiki/Stanley_Druckenmiller
Alex Soros,Open Society Foundations chair,George Soros,Open Society founder,family,Son; succeeded him as OSF chairman in 2023,https://en.wikipedia.org/wiki/Alex_Soros
Alex Soros,Open Society Foundations chair,Huma Abedin,longtime Clinton aide,spouse,Married 2025,https://en.wikipedia.org/wiki/Huma_Abedin
John Paulson,Paulson & Co founder,Paolo Pellegrini,PSQR founder,colleague,Co-architect of the 2007 subprime trade,https://en.wikipedia.org/wiki/Paolo_Pellegrini
Michael Burry,Scion Asset Management founder,Christian Bale,Oscar-winning actor,colleague,Met and studied him to portray him in The Big Short,https://en.wikipedia.org/wiki/Michael_Burry
Bill Gross,"PIMCO cofounder, bond king",Mohamed El-Erian,"economist, Allianz adviser",colleague,PIMCO co-CIOs; their 2014 split was heavily documented,https://en.wikipedia.org/wiki/Bill_H._Gross
Mohamed El-Erian,"economist, Allianz adviser",Bill Gross,"PIMCO cofounder, bond king",colleague,PIMCO co-CIOs; their 2014 split was heavily documented,https://en.wikipedia.org/wiki/Bill_H._Gross
Jeffrey Gundlach,DoubleLine founder,Jeffrey Sherman,DoubleLine deputy CIO,executive,Longtime deputy chief investment officer,https://en.wikipedia.org/wiki/DoubleLine_Capital
Cathie Wood,ARK Invest founder,Brett Winton,ARK chief futurist,executive,Longtime research deputy,https://en.wikipedia.org/wiki/ARK_Invest
Nelson Peltz,Trian Partners cofounder,Ed Garden,Trian cofounder,cofounder,Trian founding partner,https://en.wikipedia.org/wiki/Edward_Garden
Nelson Peltz,Trian Partners cofounder,Nicola Peltz,actress,family,Daughter; married to Brooklyn Beckham,https://en.wikipedia.org/wiki/Nicola_Peltz
Nelson Peltz,Trian Partners cofounder,Peter May,Trian cofounder,cofounder,Business partners for five decades,https://en.wikipedia.org/wiki/Peter_May_(businessman)
Chase Coleman,Tiger Global founder,Scott Shleifer,Tiger Global partner,colleague,Longtime private investing partner,https://en.wikipedia.org/wiki/Tiger_Global_Management
Philippe Laffont,Coatue founder,Thomas Laffont,Coatue cofounder,family,Brothers; Coatue cofounders,https://en.wikipedia.org/wiki/Coatue_Management
David Einhorn,Greenlight Capital founder,Joel Greenblatt,"Gotham founder, author",investor,Gotham provided early Greenlight backing,https://en.wikipedia.org/wiki/David_Einhorn
Joel Greenblatt,"Gotham founder, author",David Einhorn,Greenlight Capital founder,portfolio_founder,Gotham provided early Greenlight backing,https://en.wikipedia.org/wiki/David_Einhorn
Joel Greenblatt,"Gotham founder, Magic Formula author",Robert Goldstein,Gotham co-CIO,partner,Longtime Gotham co-chief investment officer,https://en.wikipedia.org/wiki/Joel_Greenblatt
Leon Cooperman,Omega Advisors founder,Wayne Cooperman,Cobalt Capital founder,family,Son; also a hedge fund manager,https://en.wikipedia.org/wiki/Leon_Cooperman
Chris Hohn,TCI Fund founder,Jamie Cooper-Hohn,CIFF cofounder,ex-spouse,Cofounded the CIFF charity; divorced 2014,https://en.wikipedia.org/wiki/Chris_Hohn
Boaz Weinstein,Saba Capital founder,Tali Farhadian Weinstein,former prosecutor,spouse,Married 2010,https://en.wikipedia.org/wiki/Tali_Farhadian_Weinstein
David Shaw,"D. E. Shaw founder, computational scientist",Jeff Bezos,Amazon founder,colleague,Bezos was a D. E. Shaw VP; left with Shaw's counsel to start Amazon,https://en.wikipedia.org/wiki/David_E._Shaw
Jamie Dimon,JPMorgan Chase chairman and CEO,Charles Scharf,Wells Fargo CEO,protege,Dimon protege since the Commercial Credit days,https://en.wikipedia.org/wiki/Charles_Scharf
Jamie Dimon,JPMorgan Chase chairman and CEO,Jennifer Piepszak,JPMorgan COO,executive,Senior deputy and succession candidate,https://en.wikipedia.org/wiki/Jennifer_Piepszak
Jamie Dimon,JPMorgan Chase chairman and CEO,Judith Kent,philanthropist,spouse,Married 1983; met at Harvard Business School,https://en.wikipedia.org/wiki/Jamie_Dimon
Jamie Dimon,JPMorgan Chase chairman and CEO,Marianne Lake,JPMorgan consumer banking CEO,executive,Senior deputy and succession candidate,https://en.wikipedia.org/wiki/Marianne_Lake
Jamie Dimon,JPMorgan Chase chairman and CEO,Mary Erdoes,JPMorgan asset and wealth management CEO,executive,Long-tenured lieutenant and succession candidate,https://en.wikipedia.org/wiki/Mary_Callahan_Erdoes
Mary Erdoes,JPMorgan asset and wealth management CEO,Jamie Dimon,JPMorgan Chase chairman and CEO,executive,Long-tenured lieutenant and succession candidate,https://en.wikipedia.org/wiki/Mary_Callahan_Erdoes
David Solomon,Goldman Sachs chairman and CEO,John Waldron,Goldman Sachs president,executive,"President, COO and designated deputy",https://en.wikipedia.org/wiki/John_Waldron_(banker)
David Solomon,Goldman Sachs chairman and CEO,Lloyd Blankfein,former Goldman Sachs CEO,predecessor,Handed Goldman's CEO role to Solomon in 2018,https://en.wikipedia.org/wiki/Lloyd_Blankfein
John Waldron,Goldman Sachs president,David Solomon,Goldman Sachs chairman and CEO,executive,"President, COO and designated deputy",https://en.wikipedia.org/wiki/John_Waldron_(banker)
Brian Moynihan,Bank of America CEO,Warren Buffett,Berkshire Hathaway chairman,investor,Buffett's 2011 crisis-era investment; long shareholder relationship,https://en.wikipedia.org/wiki/Brian_Moynihan
Jane Fraser,"Citigroup CEO, first woman to lead a major US bank",Michael Corbat,former Citigroup CEO,predecessor,Succeeded Corbat as CEO in 2021,https://en.wikipedia.org/wiki/Michael_Corbat
Ted Pick,Morgan Stanley CEO,James Gorman,"former Morgan Stanley chairman, Disney chair",predecessor,Succeeded Gorman as CEO in 2024,https://en.wikipedia.org/wiki/Ted_Pick
James Gorman,"former Morgan Stanley chairman, Disney chair",Ted Pick,Morgan Stanley CEO,successor,Succeeded Gorman as CEO in 2024,https://en.wikipedia.org/wiki/Ted_Pick
Charles Scharf,Wells Fargo CEO,Jamie Dimon,JPMorgan Chase chairman and CEO,mentor,Dimon protege since the Commercial Credit days,https://en.wikipedia.org/wiki/Charles_Scharf
Sergio Ermotti,UBS CEO,Colm Kelleher,UBS chairman,colleague,Kelleher brought him back to execute the Credit Suisse takeover,https://en.wikipedia.org/wiki/Colm_Kelleher
Ana Botin,"Santander executive chair, banking dynasty",Javier Botin,"banker, board member",family,Brother; fourth-generation Botin bankers,https://en.wikipedia.org/wiki/Ana_Bot%C3%ADn
Lloyd Blankfein,former Goldman Sachs CEO,David Solomon,Goldman Sachs chairman and CEO,successor,Handed Goldman's CEO role to Solomon in 2018,https://en.wikipedia.org/wiki/Lloyd_Blankfein
Lloyd Blankfein,former Goldman Sachs CEO,Gary Cohn,"IBM vice chairman, former NEC director",colleague,Goldman CEO-president duo for a decade,https://en.wikipedia.org/wiki/Gary_Cohn
Gary Cohn,"IBM vice chairman, former NEC director",Lloyd Blankfein,former Goldman Sachs CEO,colleague,Goldman CEO-president duo for a decade,https://en.wikipedia.org/wiki/Gary_Cohn
Ken Moelis,Moelis & Company founder,Jeff Raich,Moelis cofounder,cofounder,Founding partners 2007,https://en.wikipedia.org/wiki/Moelis_%26_Company
Byron Trott,BDT & MSD Partners founder,Michael Dell,Dell Technologies founder,partner,Merged BDT with Dell's MSD Partners in 2023,https://en.wikipedia.org/wiki/Byron_Trott
Byron Trott,BDT & MSD Partners founder,Warren Buffett,Berkshire Hathaway chairman,colleague,The only banker Buffett publicly praised in his letters,https://en.wikipedia.org/wiki/Byron_Trott
Marc Rowan,Apollo CEO,Josh Harris,"26North founder, Commanders owner",cofounder,Apollo cofounders 1990,https://en.wikipedia.org/wiki/Marc_Rowan
Marc Rowan,Apollo CEO,Leon Black,Apollo cofounder,cofounder,Apollo cofounders 1990,https://en.wikipedia.org/wiki/Marc_Rowan
Josh Harris,"26North founder, NFL Commanders owner",David Blitzer,"Blackstone executive, sports co-owner",partner,Co-own the 76ers and Devils through HBSE,https://en.wikipedia.org/wiki/David_Blitzer
Josh Harris,"26North founder, Commanders owner",Marc Rowan,Apollo CEO,cofounder,Apollo cofounders 1990,https://en.wikipedia.org/wiki/Marc_Rowan
Stephen Schwarzman,Blackstone cofounder and CEO,Christine Hearst Schwarzman,intellectual property attorney,spouse,Married 1995,https://en.wikipedia.org/wiki/Stephen_A._Schwarzman
Stephen Schwarzman,Blackstone cofounder and CEO,Jon Gray,Blackstone president,successor,"President, COO and designated successor",https://en.wikipedia.org/wiki/Jonathan_Gray_(financier)
Jon Gray,Blackstone president,Mindy Gray,philanthropist,spouse,Married; cofounded the Basser Center at Penn,https://en.wikipedia.org/wiki/Jonathan_Gray_(financier)
Jon Gray,Blackstone president,Stephen Schwarzman,Blackstone cofounder and CEO,predecessor,"President, COO and designated successor",https://en.wikipedia.org/wiki/Jonathan_Gray_(financier)
Henry Kravis,KKR cofounder,George Roberts,KKR cofounder,family,First cousins who cofounded KKR in 1976,https://en.wikipedia.org/wiki/Henry_Kravis
Henry Kravis,KKR cofounder,Joe Bae,KKR co-CEO,executive,Co-CEO he elevated in 2021 handover,https://en.wikipedia.org/wiki/Joseph_Bae
Henry Kravis,KKR cofounder,Marie-Josee Kravis,"economist, MoMA chair",spouse,Married 1994,https://en.wikipedia.org/wiki/Marie-Jos%C3%A9e_Kravis
Henry Kravis,KKR cofounder,Scott Nuttall,KKR co-CEO,executive,Co-CEO he elevated in 2021 handover,https://en.wikipedia.org/wiki/Scott_Nuttall
George Roberts,KKR cofounder,Henry Kravis,KKR cofounder,family,First cousins who cofounded KKR in 1976,https://en.wikipedia.org/wiki/Henry_Kravis
David Rubenstein,"Carlyle cofounder, interviewer",Bill Conway,Carlyle cofounder,cofounder,Carlyle cofounders 1987,https://en.wikipedia.org/wiki/William_E._Conway_Jr.
David Rubenstein,"Carlyle cofounder, interviewer",Daniel D'Aniello,Carlyle cofounder,cofounder,Carlyle cofounders 1987,https://en.wikipedia.org/wiki/Daniel_A._D%27Aniello
Orlando Bravo,Thoma Bravo cofounder,Carl Thoma,Thoma Bravo founding partner,cofounder,Founding partners of Thoma Bravo,https://en.wikipedia.org/wiki/Carl_Thoma
Robert F. Smith,Vista Equity Partners founder,Brian Sheth,Vista cofounder,cofounder,Vista cofounders; Sheth departed 2020,https://en.wikipedia.org/wiki/Brian_Sheth
Jim Coulter,TPG cofounder,Jon Winkelried,TPG CEO,executive,Runs TPG alongside founder Coulter,https://en.wikipedia.org/wiki/Jon_Winkelried
Bill Ford,General Atlantic chairman and CEO,Steve Denning,General Atlantic chairman emeritus,predecessor,Longtime predecessor as GA's leader,https://en.wikipedia.org/wiki/General_Atlantic
Egon Durban,Silver Lake co-CEO,Greg Mondre,Silver Lake co-CEO,partner,Co-CEOs since 2019,https://en.wikipedia.org/wiki/Silver_Lake_(investment_firm)
Egon Durban,Silver Lake co-CEO,Michael Dell,Dell Technologies founder,partner,Partnered on the Dell take-private and Twitter buyout,https://en.wikipedia.org/wiki/Egon_Durban
Barry Sternlicht,Starwood Capital founder,Bob Faith,Greystar founder,colleague,Early Starwood founding partner,https://en.wikipedia.org/wiki/Barry_Sternlicht
Bruce Flatt,Brookfield CEO,Mark Carney,"Prime Minister of Canada, former central banker",colleague,Carney was Brookfield chair before entering politics in 2025,https://en.wikipedia.org/wiki/Bruce_Flatt
Marc Lasry,Avenue Capital cofounder,Sonia Gardner,Avenue Capital cofounder,family,Siblings who cofounded Avenue in 1995,https://en.wikipedia.org/wiki/Sonia_Gardner
Jenny Johnson,"Franklin Templeton CEO, third-generation",Greg Johnson,Franklin executive chairman,family,Brother; grandchildren of the founder,https://en.wikipedia.org/wiki/Jenny_Johnson_(executive)
Michael Bloomberg,"Bloomberg LP founder, former NYC mayor",Emma Bloomberg,Murmuration founder,family,Daughter,https://en.wikipedia.org/wiki/Emma_Bloomberg
Michael Bloomberg,"Bloomberg LP founder, former NYC mayor",Georgina Bloomberg,equestrian and philanthropist,family,Daughter,https://en.wikipedia.org/wiki/Georgina_Bloomberg
Michael Bloomberg,"Bloomberg LP founder, former NYC mayor",Peter Grauer,Bloomberg chairman,executive,Longtime chairman,https://en.wikipedia.org/wiki/Peter_Grauer
Michael Bloomberg,"Bloomberg LP founder, former NYC mayor",Tom Secunda,Bloomberg LP cofounder,cofounder,Bloomberg cofounders 1981,https://en.wikipedia.org/wiki/Thomas_Secunda
Michael Milken,"financier, Milken Institute founder",Lowell Milken,education philanthropist,family,Brothers; longtime business and philanthropy partners,https://en.wikipedia.org/wiki/Lowell_Milken
Michael Saylor,"Strategy executive chairman, bitcoin advocate",Sanju Bansal,MicroStrategy cofounder,cofounder,MIT friends; cofounded MicroStrategy in 1989,https://en.wikipedia.org/wiki/Michael_J._Saylor
Mellody Hobson,"Ariel Investments co-CEO, Starbucks chair",George Lucas,Star Wars creator,spouse,Married 2013,https://en.wikipedia.org/wiki/Mellody_Hobson
Mellody Hobson,"Ariel Investments co-CEO, Starbucks chair",John Rogers Jr.,Ariel Investments founder,colleague,Ariel co-CEOs; three-decade partnership,https://en.wikipedia.org/wiki/John_W._Rogers_Jr.
Adena Friedman,Nasdaq CEO,Robert Greifeld,former Nasdaq CEO,predecessor,Succeeded Greifeld as Nasdaq CEO in 2017,https://en.wikipedia.org/wiki/Adena_Friedman
Jerome Powell,Federal Reserve chair since 2018,Janet Yellen,former Fed chair and Treasury secretary,predecessor,Succeeded Yellen as Fed chair in 2018,https://en.wikipedia.org/wiki/Jerome_Powell
Janet Yellen,former Treasury secretary and Fed chair,George Akerlof,Nobel laureate economist,spouse,Married 1978; Nobel-winning economist,https://en.wikipedia.org/wiki/George_Akerlof
Janet Yellen,former Fed chair and Treasury secretary,Jerome Powell,Federal Reserve chair since 2018,successor,Succeeded Yellen as Fed chair in 2018,https://en.wikipedia.org/wiki/Jerome_Powell
Janet Yellen,former Treasury secretary and Fed chair,Robert Akerlof,economist,family,Son; economics professor,https://en.wikipedia.org/wiki/Janet_Yellen
Christine Lagarde,European Central Bank president,Kristalina Georgieva,IMF managing director,successor,Succeeded Lagarde as IMF managing director in 2019,https://en.wikipedia.org/wiki/Kristalina_Georgieva
Christine Lagarde,European Central Bank president,Mario Draghi,"former ECB president, former Italian PM",predecessor,Succeeded Draghi at the ECB in 2019,https://en.wikipedia.org/wiki/Christine_Lagarde
Kristalina Georgieva,IMF managing director,Christine Lagarde,European Central Bank president,predecessor,Succeeded Lagarde as IMF managing director in 2019,https://en.wikipedia.org/wiki/Kristalina_Georgieva
Ajay Banga,World Bank president,Michael Miebach,Mastercard CEO,successor,Miebach succeeded him as Mastercard CEO,https://en.wikipedia.org/wiki/Ajay_Banga
Nicolai Tangen,Norges Bank Investment Management CEO,Yngve Slyngstad,former oil fund CEO,predecessor,Succeeded Slyngstad running the world's largest sovereign fund,https://en.wikipedia.org/wiki/Nicolai_Tangen
Khaldoon Al Mubarak,"Mubadala CEO, Manchester City chairman",Mansour bin Zayed Al Nahyan,"UAE vice president, Man City owner",executive,Chairs Manchester City for owner Sheikh Mansour,https://en.wikipedia.org/wiki/Khaldoon_Al_Mubarak
Yasir Al-Rumayyan,"PIF governor, Aramco chairman",Mohammed bin Salman,Saudi crown prince,executive,Governs the Public Investment Fund under the crown prince,https://en.wikipedia.org/wiki/Yasir_Al-Rumayyan
Ho Ching,former Temasek CEO,Lee Hsien Loong,"Singapore senior minister, former PM",spouse,Married 1985; he led Singapore 2004-2024,https://en.wikipedia.org/wiki/Ho_Ching
Uday Kotak,Kotak Mahindra Bank founder,Jay Kotak,Kotak811 co-head,family,Son; senior executive at the bank,https://en.wikipedia.org/wiki/Uday_Kotak
Nithin Kamath,Zerodha cofounder and CEO,Nikhil Kamath,"Zerodha cofounder, WTF podcast host",family,Brothers who cofounded Zerodha in 2010,https://en.wikipedia.org/wiki/Nikhil_Kamath
Nikhil Kamath,"Zerodha cofounder, WTF podcast host",Nithin Kamath,Zerodha cofounder and CEO,family,Brothers who cofounded Zerodha in 2010,https://en.wikipedia.org/wiki/Nikhil_Kamath
Li Ka-shing,"CK Hutchison founder, Hong Kong's richest man",Richard Li,PCCW chairman,family,Son; telecom and insurance magnate,https://en.wikipedia.org/wiki/Richard_Li
Li Ka-shing,"CK Hutchison founder, Hong Kong's richest man",Victor Li,CK Hutchison chairman,family,Son and successor as chairman,https://en.wikipedia.org/wiki/Victor_Li_(businessman)
Jorge Paulo Lemann,"3G Capital cofounder, Brazil's richest man",Carlos Alberto Sicupira,3G Capital cofounder,cofounder,3G founding trio,https://en.wikipedia.org/wiki/Carlos_Alberto_Sicupira
Jorge Paulo Lemann,"3G Capital cofounder, Brazil's richest man",Marcel Telles,3G Capital cofounder,cofounder,Five-decade partnership from Garantia to 3G,https://en.wikipedia.org/wiki/Marcel_Herrmann_Telles
Jorge Paulo Lemann,"3G Capital cofounder, Brazil's richest man",Warren Buffett,Berkshire Hathaway chairman,partner,Kraft Heinz partnership between 3G and Berkshire,https://en.wikipedia.org/wiki/Jorge_Paulo_Lemann
Evan Greenberg,Chubb chairman and CEO,Maurice Greenberg,"former AIG chairman, insurance legend",family,Father; both built global insurance giants,https://en.wikipedia.org/wiki/Maurice_R._Greenberg
Vlad Tenev,Robinhood cofounder and CEO,Baiju Bhatt,"Robinhood cofounder, Aetherflux founder",cofounder,Stanford roommates; Robinhood cofounders 2013,https://en.wikipedia.org/wiki/Vladimir_Tenev
Baiju Bhatt,"Robinhood cofounder, Aetherflux founder",Vlad Tenev,Robinhood cofounder and CEO,cofounder,Stanford roommates; Robinhood cofounders 2013,https://en.wikipedia.org/wiki/Vladimir_Tenev
David Velez,Nubank cofounder and CEO,Cristina Junqueira,Nubank cofounder,cofounder,Nubank cofounders 2013,https://en.wikipedia.org/wiki/Cristina_Junqueira
David Velez,Nubank cofounder and CEO,Edward Wible,Nubank cofounder,cofounder,Nubank cofounders 2013,https://en.wikipedia.org/wiki/Nubank
Cristina Junqueira,Nubank cofounder,David Velez,Nubank cofounder and CEO,cofounder,Nubank cofounders 2013,https://en.wikipedia.org/wiki/Cristina_Junqueira
Sebastian Siemiatkowski,Klarna cofounder and CEO,Niklas Adalberth,Norrsken founder,cofounder,Klarna cofounders 2005,https://en.wikipedia.org/wiki/Niklas_Adalberth
Sebastian Siemiatkowski,Klarna cofounder and CEO,Victor Jacobsson,investor,cofounder,Klarna cofounders 2005,https://en.wikipedia.org/wiki/Klarna
Nik Storonsky,Revolut cofounder and CEO,Vlad Yatsenko,Revolut cofounder and CTO,cofounder,Revolut cofounders 2015,https://en.wikipedia.org/wiki/Revolut
Jeremy Allaire,Circle cofounder and CEO,Sean Neville,Circle cofounder,cofounder,Circle cofounders 2013,https://en.wikipedia.org/wiki/Circle_(company)
Todd Boehly,"Eldridge founder, Chelsea co-owner",Behdad Eghbali,Clearlake Capital cofounder,partner,Chelsea FC co-controlling owners,https://en.wikipedia.org/wiki/Behdad_Eghbali
Todd Boehly,"Eldridge founder, Chelsea co-owner",Mark Walter,"Guggenheim CEO, Dodgers owner",partner,Dodgers and Lakers co-investors,https://en.wikipedia.org/wiki/Mark_Walter
Gerry Cardinale,"RedBird Capital founder, AC Milan owner",LeBron James,all-time NBA scoring leader,partner,RedBird backed and merged SpringHill with James and Carter,https://en.wikipedia.org/wiki/Gerry_Cardinale
Antony Ressler,"Ares cofounder, Atlanta Hawks owner",Jami Gertz,actress,spouse,Married 1989; co-own the Hawks,https://en.wikipedia.org/wiki/Jami_Gertz
Antony Ressler,"Ares cofounder, Atlanta Hawks owner",Michael Arougheti,Ares CEO,cofounder,Ares cofounder and CEO,https://en.wikipedia.org/wiki/Michael_Arougheti
