target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Noubar Afeyan,"Flagship Pioneering founder, Moderna cofounder",Robert Langer,"MIT Institute Professor, most-cited engineer, serial biotech founder",cofounder,Cofounded Moderna in 2010 and many Flagship companies,https://en.wikipedia.org/wiki/Noubar_Afeyan
Noubar Afeyan,"Flagship Pioneering founder and CEO, Moderna chairman",Stephane Bancel,Moderna CEO,cofounder,Recruited Bancel to lead Moderna in 2011,https://en.wikipedia.org/wiki/St%C3%A9phane_Bancel
Noubar Afeyan,Flagship Pioneering founder,Stephen Hoge,Moderna president,colleague,Moderna leadership under its Flagship cofounder,https://en.wikipedia.org/wiki/Moderna
Stephane Bancel,Moderna CEO,Melissa Moore,former Moderna chief scientific officer,colleague,Moderna scientific leadership,https://en.wikipedia.org/wiki/Moderna
Stephane Bancel,Moderna CEO,Noubar Afeyan,"Flagship Pioneering founder and CEO, Moderna chairman",cofounder,Recruited Bancel to lead Moderna in 2011,https://en.wikipedia.org/wiki/St%C3%A9phane_Bancel
Stephane Bancel,Moderna CEO,Stephen Hoge,Moderna president,executive,Longtime Moderna president and deputy,https://en.wikipedia.org/wiki/Moderna
Stephane Bancel,Moderna CEO,Tal Zaks,"former Moderna CMO, biotech investor",colleague,Moderna chief medical officer through the vaccine era,https://en.wikipedia.org/wiki/Moderna
Stephane Bancel,Moderna CEO,Tim Springer,"Harvard immunologist, Moderna early investor",portfolio_founder,Early Moderna investor who backed the company before its IPO,https://en.wikipedia.org/wiki/Timothy_Springer
Derrick Rossi,"stem cell biologist, Moderna cofounder",Kenneth Chien,"cardiovascular scientist, Moderna cofounder",cofounder,Moderna scientific cofounders 2010,https://en.wikipedia.org/wiki/Moderna
Derrick Rossi,"stem cell biologist, Moderna cofounder",Noubar Afeyan,"Flagship Pioneering founder and CEO, Moderna chairman",cofounder,Moderna cofounders 2010,https://en.wikipedia.org/wiki/Derrick_Rossi
Ugur Sahin,BioNTech cofounder and CEO,Albert Bourla,Pfizer CEO,partner,Pfizer-BioNTech vaccine partnership,https://en.wikipedia.org/wiki/BioNTech
Ugur Sahin,BioNTech cofounder and CEO,Christoph Huber,"oncologist, BioNTech cofounder",cofounder,BioNTech cofounders 2008,https://en.wikipedia.org/wiki/Ugur_Sahin
Ugur Sahin,BioNTech cofounder and CEO,Katalin Kariko,"Nobel laureate, mRNA pioneer, former BioNTech SVP",colleague,Joined BioNTech as senior vice president under Sahin,https://en.wikipedia.org/wiki/Katalin_Karik%C3%B3
Ugur Sahin,BioNTech cofounder and CEO,Ozlem Tureci,BioNTech cofounder and CMO,spouse,Married scientific partners; cofounded BioNTech in 2008,https://en.wikipedia.org/wiki/%C3%96zlem_T%C3%BCreci
Ugur Sahin,BioNTech cofounder and CEO,Thomas Strungmann,"investor, Hexal cofounder",investor,Anchor investor and BioNTech cofounding backer,https://en.wikipedia.org/wiki/Andreas_and_Thomas_Str%C3%BCngmann
Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",Emmanuelle Charpentier,"Nobel laureate, CRISPR co-discoverer",colleague,Shared the 2020 Nobel for CRISPR-Cas9,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier
Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",Feng Zhang,"Broad Institute, Editas cofounder",colleague,CRISPR co-pioneers; central figures in the patent dispute era,https://en.wikipedia.org/wiki/Feng_Zhang
Jennifer Doudna,"Nobel laureate, CRISPR pioneer",Fyodor Urnov,"gene editing pioneer, Innovative Genomics",colleague,IGI colleagues advancing CRISPR therapeutics,https://en.wikipedia.org/wiki/Innovative_Genomics_Institute
Jennifer Doudna,"Nobel laureate, CRISPR pioneer",Martin Jinek,"structural biologist, Caribou cofounder",mentor,Doudna lab; co-authored the 2012 CRISPR-Cas9 paper,https://en.wikipedia.org/wiki/Martin_Jinek
Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",Rachel Haurwitz,Caribou Biosciences cofounder and CEO,student,Doudna lab PhD; cofounded Caribou together,https://en.wikipedia.org/wiki/Rachel_Haurwitz
Jennifer Doudna,"Nobel laureate, CRISPR pioneer",Stanley Qi,"Stanford bioengineer, CRISPRi pioneer",colleague,Codeveloped CRISPR interference technology,https://en.wikipedia.org/wiki/Jennifer_Doudna
Jennifer Doudna,"Nobel laureate, CRISPR pioneer",Trevor Martin,Mammoth Biosciences CEO,portfolio_founder,Cofounded Mammoth Biosciences,https://en.wikipedia.org/wiki/Mammoth_Biosciences
Feng Zhang,"Broad Institute core member, serial CRISPR founder",David Liu,"Broad Institute, base editing pioneer, serial founder",colleague,Broad Institute colleagues; cofounded Beam and Editas alongside him,https://en.wikipedia.org/wiki/David_Liu_(chemist)
Feng Zhang,"Broad Institute core member, serial CRISPR founder",Eric Lander,Broad Institute founding director,mentor,Broad founding director; recruited and championed Zhang,https://en.wikipedia.org/wiki/Eric_Lander
Feng Zhang,"Broad Institute, Editas cofounder",Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",colleague,CRISPR co-pioneers; central figures in the patent dispute era,https://en.wikipedia.org/wiki/Feng_Zhang
Feng Zhang,Editas cofounder,Katrine Bosley,"former Editas CEO, biotech executive",colleague,Led Editas Medicine as CEO,https://en.wikipedia.org/wiki/Editas_Medicine
Feng Zhang,"Broad Institute, serial CRISPR founder",Keith Joung,Editas cofounder,cofounder,Editas Medicine cofounders,https://en.wikipedia.org/wiki/Editas_Medicine
Feng Zhang,"Broad Institute core member, serial CRISPR founder",Pardis Sabeti,Broad computational geneticist,cofounder,Cofounded Sherlock Biosciences together,https://en.wikipedia.org/wiki/Sherlock_Biosciences
David Liu,"Broad Institute, base editing pioneer, serial founder",Feng Zhang,"Broad Institute core member, serial CRISPR founder",colleague,Broad Institute colleagues; cofounded Beam and Editas alongside him,https://en.wikipedia.org/wiki/David_Liu_(chemist)
David Liu,"Broad Institute, base and prime editing pioneer, serial founder",Keith Joung,Editas and Beam cofounder,cofounder,"Cofounded Editas, Beam, and Prime Medicine together",https://en.wikipedia.org/wiki/David_Liu_(chemist)
George Church,Harvard geneticist,Andrew Hessel,"Humane Genomics founder, synthetic biology leader",colleague,Genome Project-write cofounders,https://en.wikipedia.org/wiki/George_Church_(geneticist)
George Church,Harvard geneticist,David Sinclair,"Harvard aging biologist, serial longevity founder",colleague,Harvard aging and genomics collaborators; Rejuvenate Bio ties,https://en.wikipedia.org/wiki/David_A._Sinclair
George Church,"Harvard genetics professor, serial biotech founder",Jason Kelly,Ginkgo Bioworks cofounder and CEO,student,Church lab alumnus; cofounded Ginkgo,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
George Church,Harvard geneticist,Kevin Esvelt,MIT gene drive researcher,mentor,Church lab alumnus; gene drive pioneer,https://en.wikipedia.org/wiki/George_Church_(geneticist)
George Church,Harvard geneticist,Luhan Yang,eGenesis and Qihan Bio cofounder,mentor,Church lab PhD; cofounded eGenesis for xenotransplantation,https://en.wikipedia.org/wiki/EGenesis
George Church,"Harvard genetics professor, serial biotech founder",Noubar Afeyan,Flagship Pioneering founder,colleague,Cofounded multiple companies through Flagship,https://en.wikipedia.org/wiki/George_Church_(geneticist)
George Church,Harvard geneticist,Prashant Mali,"UCSD bioengineer, gene editing founder",mentor,Church lab; co-authored foundational human CRISPR work,https://en.wikipedia.org/wiki/George_Church_(geneticist)
George Church,"Harvard genetics professor, serial biotech founder",Reshma Shetty,Ginkgo Bioworks cofounder,student,Church lab alumna; cofounded Ginkgo Bioworks,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
George Church,"Harvard genetics professor, serial biotech founder",Ting Wu,Harvard geneticist,spouse,Married Harvard geneticists,https://en.wikipedia.org/wiki/George_Church_(geneticist)
Jason Kelly,Ginkgo Bioworks cofounder and CEO,Austin Che,Ginkgo Bioworks cofounder,cofounder,MIT labmates and Ginkgo cofounders,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Jason Kelly,Ginkgo Bioworks cofounder and CEO,George Church,"Harvard genetics professor, serial biotech founder",mentor,Church lab alumnus; cofounded Ginkgo,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Jason Kelly,Ginkgo Bioworks cofounder and CEO,Reshma Shetty,Ginkgo Bioworks cofounder,cofounder,MIT labmates and Ginkgo cofounders 2008,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Jason Kelly,Ginkgo Bioworks CEO,Tom Knight,"MIT engineer, Ginkgo Bioworks cofounder",cofounder,MIT mentor and Ginkgo cofounder,https://en.wikipedia.org/wiki/Tom_Knight_(scientist)
Reshma Shetty,Ginkgo Bioworks cofounder,Barry Canton,Ginkgo Bioworks cofounder,spouse,Ginkgo cofounders and married,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Reshma Shetty,Ginkgo Bioworks cofounder,George Church,"Harvard genetics professor, serial biotech founder",mentor,Church lab alumna; cofounded Ginkgo Bioworks,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Reshma Shetty,Ginkgo Bioworks cofounder,Jason Kelly,Ginkgo Bioworks cofounder and CEO,cofounder,MIT labmates and Ginkgo cofounders 2008,https://en.wikipedia.org/wiki/Ginkgo_Bioworks
Reshma Shetty,Ginkgo Bioworks cofounder,Tom Knight,"MIT engineer, Ginkgo cofounder",cofounder,MIT mentor and Ginkgo cofounder,https://en.wikipedia.org/wiki/Tom_Knight_(scientist)
Emmanuelle Charpentier,"Nobel laureate, CRISPR co-discoverer",Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",colleague,Shared the 2020 Nobel for CRISPR-Cas9,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier
Emmanuelle Charpentier,"Nobel laureate, CRISPR Therapeutics cofounder",Rodger Novak,CRISPR Therapeutics cofounder,cofounder,Cofounded CRISPR Therapeutics in 2013,https://en.wikipedia.org/wiki/CRISPR_Therapeutics
Emmanuelle Charpentier,"Nobel laureate, CRISPR Therapeutics cofounder",Samarth Kulkarni,CRISPR Therapeutics CEO,colleague,Leads the company she cofounded,https://en.wikipedia.org/wiki/CRISPR_Therapeutics
Emmanuelle Charpentier,"Nobel laureate, CRISPR Therapeutics cofounder",Shaun Foy,CRISPR Therapeutics cofounder,cofounder,CRISPR Therapeutics cofounders 2013,https://en.wikipedia.org/wiki/CRISPR_Therapeutics
Rachel Haurwitz,Caribou Biosciences cofounder and CEO,Jennifer Doudna,"Nobel laureate, CRISPR pioneer, serial founder",mentor,Doudna lab PhD; cofounded Caribou together,https://en.wikipedia.org/wiki/Rachel_Haurwitz
Rachel Haurwitz,Caribou Biosciences cofounder and CEO,Martin Jinek,"structural biologist, Caribou cofounder",cofounder,Doudna lab colleagues; Caribou cofounders,https://en.wikipedia.org/wiki/Caribou_Biosciences
Samarth Kulkarni,CRISPR Therapeutics CEO,Emmanuelle Charpentier,"Nobel laureate, CRISPR Therapeutics cofounder",colleague,Leads the company she cofounded,https://en.wikipedia.org/wiki/CRISPR_Therapeutics
John Maraganore,"former Alnylam CEO, biotech investor",Paul Schimmel,"Scripps professor, serial biotech cofounder",colleague,Alnylam cofounder and longtime collaborator,https://en.wikipedia.org/wiki/Paul_Schimmel
John Maraganore,"former Alnylam CEO, biotech investor",Phillip Sharp,"Nobel laureate, Alnylam cofounder",colleague,Built Alnylam alongside its Nobel-laureate cofounders,https://en.wikipedia.org/wiki/John_Maraganore
Phillip Sharp,"Nobel laureate, Biogen and Alnylam cofounder",David Baltimore,"Nobel laureate, Biogen cofounder",cofounder,Biogen cofounders 1978,https://en.wikipedia.org/wiki/David_Baltimore
Phillip Sharp,"Nobel laureate, Alnylam cofounder",John Maraganore,"former Alnylam CEO, biotech investor",colleague,Built Alnylam alongside its Nobel-laureate cofounders,https://en.wikipedia.org/wiki/John_Maraganore
Phillip Sharp,"Nobel laureate, Biogen and Alnylam cofounder",Phillip Zamore,"RNA biologist, Alnylam cofounder",cofounder,Alnylam scientific cofounders,https://en.wikipedia.org/wiki/Phillip_Zamore
Bob Nelsen,ARCH Venture Partners cofounder,Jay Flatley,former Illumina CEO,colleague,Backed and built Illumina and many genomics companies,https://en.wikipedia.org/wiki/Jay_Flatley
Bob Nelsen,ARCH Venture Partners cofounder,Kristina Burow,ARCH Venture managing director,colleague,Longtime ARCH investing partner,https://en.wikipedia.org/wiki/Robert_Nelsen
Jay Flatley,former Illumina CEO,Bob Nelsen,ARCH Venture Partners cofounder,colleague,Backed and built Illumina and many genomics companies,https://en.wikipedia.org/wiki/Jay_Flatley
Jay Flatley,former Illumina CEO and chairman,Francis deSouza,former Illumina CEO,successor,Handed the Illumina CEO role to deSouza in 2016,https://en.wikipedia.org/wiki/Jay_Flatley
Jay Flatley,former Illumina CEO,Jonathan Rothberg,"454 and Ion Torrent founder, serial genomics entrepreneur",colleague,Rival and peer genomics-platform pioneers,https://en.wikipedia.org/wiki/Jonathan_Rothberg
Jorge Conde,"a16z bio general partner, Syros cofounder",Vijay Pande,a16z bio founding partner,colleague,a16z Bio investing partners,https://en.wikipedia.org/wiki/Andreessen_Horowitz
Jorge Conde,a16z bio general partner,Vineeta Agarwala,"a16z bio general partner, physician",colleague,a16z Bio investing partners,https://en.wikipedia.org/wiki/Andreessen_Horowitz
Vijay Pande,a16z bio founding partner,Daphne Koller,insitro founder,colleague,Computational-bio ecosystem collaborators and coinvestors,https://en.wikipedia.org/wiki/Andreessen_Horowitz
Vijay Pande,"a16z bio founding partner, Folding@home creator",Jorge Conde,a16z bio general partner,colleague,a16z Bio founding partners,https://en.wikipedia.org/wiki/Andreessen_Horowitz
Krishna Yeshwant,"GV general partner, physician-engineer",Bill Maris,"GV founder, Section 32 founder",colleague,GV investing partners; Maris founded the fund,https://en.wikipedia.org/wiki/Bill_Maris
Bill Maris,"GV founder, Section 32 founder",David Krane,GV CEO,successor,Krane succeeded Maris leading GV,https://en.wikipedia.org/wiki/David_Krane
Bill Maris,"GV founder, Section 32 founder",Krishna Yeshwant,"GV general partner, physician-engineer",colleague,GV investing partners; Maris founded the fund,https://en.wikipedia.org/wiki/Bill_Maris
Alexis Borisy,"serial biotech founder, Curie.Bio cofounder",Zach Weinberg,Curie.Bio and Flatiron cofounder,cofounder,Cofounded Curie.Bio together,https://en.wikipedia.org/wiki/Alexis_Borisy
Zach Weinberg,Curie.Bio and Flatiron cofounder,Alexis Borisy,"serial biotech founder, Curie.Bio cofounder",cofounder,Cofounded Curie.Bio together,https://en.wikipedia.org/wiki/Alexis_Borisy
Zach Weinberg,"Flatiron Health cofounder, Curie.Bio cofounder",Nat Turner,"Flatiron Health cofounder, Collectors CEO",cofounder,Cofounded Flatiron Health and Invite Media together,https://en.wikipedia.org/wiki/Nat_Turner_(entrepreneur)
Nat Turner,Flatiron Health cofounder,Vineeta Agarwala,"a16z bio general partner, physician",colleague,Flatiron and healthcare data ecosystem collaborators,https://en.wikipedia.org/wiki/Flatiron_Health
Nat Turner,"Flatiron Health cofounder, Collectors CEO",Zach Weinberg,"Flatiron Health cofounder, Curie.Bio cofounder",cofounder,Cofounded Flatiron Health and Invite Media together,https://en.wikipedia.org/wiki/Nat_Turner_(entrepreneur)
Daphne Koller,"insitro founder and CEO, Coursera cofounder",Andrew Ng,"Coursera cofounder, AI Fund",cofounder,Cofounded Coursera in 2012 before founding insitro,https://en.wikipedia.org/wiki/Daphne_Koller
Daphne Koller,"insitro founder and CEO, Coursera cofounder",Sebastian Thrun,Udacity and Kitty Hawk founder,colleague,Stanford AI faculty colleagues,https://en.wikipedia.org/wiki/Sebastian_Thrun
Daphne Koller,insitro founder,Vijay Pande,a16z bio founding partner,colleague,Computational-bio ecosystem collaborators and coinvestors,https://en.wikipedia.org/wiki/Andreessen_Horowitz
Vivek Ramaswamy,"Roivant founder, politician",Vlad Coric,Biohaven CEO,colleague,"Biohaven, spun out of the Roivant model, led by Coric",https://en.wikipedia.org/wiki/Vivek_Ramaswamy
Emily Leproust,Twist Bioscience cofounder and CEO,Bill Banyai,Twist Bioscience cofounder,cofounder,Twist Bioscience cofounders 2013,https://en.wikipedia.org/wiki/Twist_Bioscience
Anne Wojcicki,23andMe cofounder and CEO,Linda Avey,23andMe cofounder,cofounder,23andMe cofounders 2006,https://en.wikipedia.org/wiki/Linda_Avey
Anne Wojcicki,23andMe cofounder and CEO,Paul Cusenza,23andMe cofounder,cofounder,23andMe cofounders 2006,https://en.wikipedia.org/wiki/23andMe
Anne Wojcicki,23andMe cofounder and CEO,Sergey Brin,Google cofounder,ex-spouse,Married 2007-2015; early 23andMe backer,https://en.wikipedia.org/wiki/Anne_Wojcicki
Anne Wojcicki,23andMe cofounder and CEO,Susan Wojcicki,former YouTube CEO,family,Sister,https://en.wikipedia.org/wiki/Susan_Wojcicki
Linda Avey,"23andMe cofounder, Precisely founder",Anne Wojcicki,23andMe cofounder and CEO,cofounder,23andMe cofounders 2006,https://en.wikipedia.org/wiki/23andMe
Aaron Kimball,"Butterfly Network CTO, Rothberg company",Jonathan Rothberg,serial genomics entrepreneur,colleague,Built Butterfly Network within the Rothberg ecosystem,https://en.wikipedia.org/wiki/Butterfly_Network
Alec Nielsen,Asimov cofounder and CEO,Christopher Voigt,"MIT bioengineering professor, Asimov cofounder",student,Voigt lab PhD; cofounded Asimov together,https://en.wikipedia.org/wiki/Asimov_(company)
Christopher Voigt,"MIT synthetic biology professor, serial founder",Alec Nielsen,Asimov cofounder and CEO,student,Voigt lab PhD student turned Asimov cofounder,https://en.wikipedia.org/wiki/Asimov_(company)
Andrew Hessel,"Humane Genomics founder, synthetic biology leader",George Church,Harvard geneticist,colleague,Genome Project-write cofounders,https://en.wikipedia.org/wiki/George_Church_(geneticist)
Tom Cahill,"Newpath Partners founder, biotech investor",Warren Buffett,Berkshire Hathaway chairman,colleague,Reported to have helped broker biotech and pandemic-era connections,https://en.wikipedia.org/wiki/Warren_Buffett
Sam Altman,"Retro Biosciences primary backer, OpenAI CEO",Joe Betts-LaCroix,Retro Biosciences cofounder and CEO,investor,Funded Retro Biosciences with 180M to extend human lifespan,https://en.wikipedia.org/wiki/Sam_Altman
Joe Betts-LaCroix,Retro Biosciences cofounder and CEO,Sam Altman,"OpenAI CEO, Retro backer",portfolio_founder,Retro Biosciences funded by Altman,https://en.wikipedia.org/wiki/Retro_Biosciences
Arie Belldegrun,"Kite Pharma founder, Allogene cofounder",David Chang,Allogene cofounder and CEO,cofounder,Cofounded Kite Pharma and Allogene together,https://en.wikipedia.org/wiki/Arie_Belldegrun
David Chang,Allogene cofounder and CEO,Arie Belldegrun,Kite and Allogene founder,cofounder,Kite Pharma and Allogene cofounders,https://en.wikipedia.org/wiki/Allogene_Therapeutics
Sean Parker,"Parker Institute founder, Napster and Facebook cofounder",Mark Zuckerberg,Meta founder and CEO,colleague,Facebook founding president; later funded cancer immunotherapy,https://en.wikipedia.org/wiki/Sean_Parker
Sean Parker,"Parker Institute founder, Napster and Facebook cofounder",Shawn Fanning,Napster cofounder,cofounder,Napster cofounders 1999,https://en.wikipedia.org/wiki/Shawn_Fanning
Priscilla Chan,"Chan Zuckerberg Initiative cofounder, physician",Mark Zuckerberg,Meta founder and CEO,spouse,Married 2012; cofounded CZI and the Biohub,https://en.wikipedia.org/wiki/Priscilla_Chan
Priscilla Chan,"Chan Zuckerberg Initiative cofounder, physician",Stephen Quake,"CZ Biohub cofounder, Stanford bioengineer",colleague,Cofounded and co-led the CZ Biohub,https://en.wikipedia.org/wiki/Stephen_Quake
Stephen Quake,"Stanford bioengineer, serial founder, CZ Biohub cofounder",Christina Smolke,"Antheia founder, Stanford bioengineer",student,Stanford bioengineering ecosystem; synthetic biology founders,https://en.wikipedia.org/wiki/Stephen_Quake
Stephen Quake,"CZ Biohub cofounder, Stanford bioengineer",Priscilla Chan,"Chan Zuckerberg Initiative cofounder, physician",colleague,Cofounded and co-led the CZ Biohub,https://en.wikipedia.org/wiki/Stephen_Quake
Christina Smolke,"Antheia cofounder and CEO, Stanford bioengineer",Jared Farmer,Antheia cofounder,cofounder,Antheia cofounders,https://en.wikipedia.org/wiki/Antheia_(company)
Christina Smolke,"Antheia founder, Stanford bioengineer",Stephen Quake,"Stanford bioengineer, serial founder, CZ Biohub cofounder",mentor,Stanford bioengineering ecosystem; synthetic biology founders,https://en.wikipedia.org/wiki/Stephen_Quake
Carolyn Bertozzi,"Nobel laureate, serial biotech founder",Jennifer Cochran,"Stanford bioengineer, cofounder",colleague,Stanford chemical biology cofounder collaborations,https://en.wikipedia.org/wiki/Carolyn_Bertozzi
Franz-Werner Haas,CureVac CEO,Ingmar Hoerr,"CureVac founder, mRNA pioneer",successor,Leads the company Hoerr founded,https://en.wikipedia.org/wiki/CureVac
Ingmar Hoerr,"CureVac founder, mRNA pioneer",Franz-Werner Haas,CureVac CEO,colleague,Founded CureVac; Haas later ran it,https://en.wikipedia.org/wiki/CureVac
Katalin Kariko,"Nobel laureate, mRNA pioneer, former BioNTech SVP",Drew Weissman,"Nobel laureate, mRNA co-discoverer",colleague,Shared the 2023 Nobel for mRNA vaccine technology,https://en.wikipedia.org/wiki/Katalin_Karik%C3%B3
Katalin Kariko,"Nobel laureate, mRNA pioneer, former BioNTech SVP",Ugur Sahin,BioNTech cofounder and CEO,colleague,Joined BioNTech as senior vice president under Sahin,https://en.wikipedia.org/wiki/Katalin_Karik%C3%B3
Drew Weissman,"Nobel laureate, mRNA co-discoverer, Penn professor",Katalin Kariko,"Nobel laureate, mRNA pioneer",colleague,Penn research partners; shared the 2023 Nobel,https://en.wikipedia.org/wiki/Drew_Weissman
Aviv Regev,"Genentech research head, former Broad core member",Eric Lander,Broad Institute founding director,colleague,Broad Institute leadership and Human Cell Atlas cofounders,https://en.wikipedia.org/wiki/Aviv_Regev
Eric Lander,Broad Institute founding director,Anthony Philippakis,"GV general partner, former Broad chief data officer",colleague,Broad Institute data science leadership,https://en.wikipedia.org/wiki/Broad_Institute
Eric Lander,"Broad Institute founding director, geneticist",Aviv Regev,Genentech research head,colleague,Broad Institute leaders and genomics collaborators,https://en.wikipedia.org/wiki/Eric_Lander
Eric Lander,Broad Institute founding director,Feng Zhang,"Broad Institute core member, serial CRISPR founder",protege,Broad founding director; recruited and championed Zhang,https://en.wikipedia.org/wiki/Eric_Lander
Pardis Sabeti,"Broad Institute computational geneticist, Sherlock cofounder",Feng Zhang,"Broad Institute, Sherlock Biosciences cofounder",cofounder,Cofounded Sherlock Biosciences,https://en.wikipedia.org/wiki/Sherlock_Biosciences
Anthony Philippakis,"GV general partner, former Broad chief data officer",Eric Lander,Broad Institute founding director,colleague,Broad Institute data science leadership,https://en.wikipedia.org/wiki/Broad_Institute
Michelle Dipp,"Biospring Partners cofounder, former OvaScience founder",David Sinclair,"Harvard aging biologist, serial founder",student,Sinclair lab alumna; cofounded aging-focused companies with him,https://en.wikipedia.org/wiki/Michelle_Dipp
David Sinclair,Harvard aging biologist,Ana Maria Cuervo,autophagy and aging researcher,colleague,Longevity science collaborators,https://en.wikipedia.org/wiki/Biotechnology
David Sinclair,"Harvard aging biologist, serial longevity founder",George Church,Harvard geneticist,colleague,Harvard aging and genomics collaborators; Rejuvenate Bio ties,https://en.wikipedia.org/wiki/David_A._Sinclair
David Sinclair,"Harvard aging biologist, serial longevity founder",Michelle Dipp,Biospring Partners cofounder,mentor,Sinclair lab alumna and repeat cofounder,https://en.wikipedia.org/wiki/David_A._Sinclair
David Sinclair,Harvard aging biologist,Nir Barzilai,"aging researcher, TAME trial leader",colleague,Leading longevity researchers and collaborators,https://en.wikipedia.org/wiki/Biotechnology
Reshma Kewalramani,Vertex Pharmaceuticals CEO,Jeffrey Leiden,Vertex executive chairman,predecessor,Succeeded Leiden as Vertex CEO in 2020,https://en.wikipedia.org/wiki/Reshma_Kewalramani
Jeffrey Leiden,"Vertex executive chairman, biotech leader",Reshma Kewalramani,Vertex Pharmaceuticals CEO,successor,Handed Vertex CEO role to Kewalramani,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals
Kevin Esvelt,MIT gene drive researcher,George Church,Harvard geneticist,student,Church lab alumnus; gene drive pioneer,https://en.wikipedia.org/wiki/George_Church_(geneticist)
Prashant Mali,"UCSD bioengineer, gene editing founder",George Church,Harvard geneticist,student,Church lab; co-authored foundational human CRISPR work,https://en.wikipedia.org/wiki/George_Church_(geneticist)
Luhan Yang,eGenesis and Qihan Bio cofounder,George Church,Harvard geneticist,student,Church lab PhD; cofounded eGenesis for xenotransplantation,https://en.wikipedia.org/wiki/EGenesis
Fyodor Urnov,"gene editing pioneer, Innovative Genomics",Jennifer Doudna,"Nobel laureate, CRISPR pioneer",colleague,IGI colleagues advancing CRISPR therapeutics,https://en.wikipedia.org/wiki/Innovative_Genomics_Institute
Tal Zaks,"former Moderna CMO, biotech investor",Stephane Bancel,Moderna CEO,colleague,Moderna chief medical officer through the vaccine era,https://en.wikipedia.org/wiki/Moderna
