target_name,target_context,connection_name,connection_context,relationship_type,evidence_note,source_url
Ed Sheeran,singer-songwriter,Stuart Camp,music manager,manager,Longtime manager across his entire career,https://en.wikipedia.org/wiki/Ed_Sheeran
Adele,record-breaking British singer,Jonathan Dickins,September Management founder,manager,Manager since 2006,https://en.wikipedia.org/wiki/Jonathan_Dickins
Post Malone,genre-crossing hitmaker,Dre London,music manager,manager,"Longtime manager, London Entertainment",https://en.wikipedia.org/wiki/Post_Malone
Dua Lipa,pop superstar,David Lipa,Sunny Hill Foundation cofounder,family,Father; cofounded the Sunny Hill Festival with her,https://en.wikipedia.org/wiki/Dua_Lipa
Harry Styles,pop superstar,Jeffrey Azoff,Full Stop Management partner,manager,Manager and documented close friend,https://en.wikipedia.org/wiki/Irving_Azoff
Jennifer Lopez,singer and actress,Benny Medina,talent manager,manager,Longtime manager and producing partner,https://en.wikipedia.org/wiki/Benny_Medina
Eminem,best-selling rapper,Paul Rosenberg,"music executive, former Def Jam CEO",manager,Manager since 1997; Shady Records cofounder,https://en.wikipedia.org/wiki/Paul_Rosenberg_(music_industry)
Miley Cyrus,pop star and actress,Tish Cyrus,producer,family,Mother and former manager,https://en.wikipedia.org/wiki/Tish_Cyrus
Dwayne Johnson,"highest-paid actor, former WWE star",Ari Emanuel,Endeavor CEO,agent,Longtime WME agent and documented friend; brought him to the TKO board,https://en.wikipedia.org/wiki/Ari_Emanuel
Dwayne Johnson,"highest-paid actor, former WWE star",Dany Garcia,"Seven Bucks cofounder, TKO board",manager,Ex-wife (1997-2008) turned longtime manager; Seven Bucks cofounder,https://en.wikipedia.org/wiki/Dany_Garcia
Leonardo DiCaprio,Oscar-winning actor and climate activist,Rick Yorn,"talent manager, LBI Entertainment",manager,Manager for three decades,https://en.wikipedia.org/wiki/Rick_Yorn
Brad Pitt,Oscar-winning actor and producer,Bryan Lourd,CAA co-chairman,agent,Longtime CAA agent,https://en.wikipedia.org/wiki/Bryan_Lourd
Jennifer Aniston,Friends star and producer,Kevin Huvane,CAA co-chairman,agent,Longtime CAA agent,https://en.wikipedia.org/wiki/Kevin_Huvane
Ryan Reynolds,"Deadpool star, Wrexham co-owner",George Dewey,Maximum Effort cofounder,cofounder,Cofounded Maximum Effort marketing studio with him,https://en.wikipedia.org/wiki/Maximum_Effort_(company)
Priyanka Chopra,actress and producer,Anjula Acharia,investor and manager,manager,Manager who engineered her US crossover; tech investor,https://en.wikipedia.org/wiki/Anjula_Acharia
Shah Rukh Khan,Bollywood superstar,Pooja Dadlani,talent manager,manager,Longtime manager,https://en.wikipedia.org/wiki/Shah_Rukh_Khan
Ben Affleck,actor and director,Patrick Whitesell,Endeavor executive chairman,agent,Longtime WME agent,https://en.wikipedia.org/wiki/Patrick_Whitesell
Cristiano Ronaldo,most-followed person on Instagram,Jorge Mendes,"football superagent, Gestifute",agent,Agent for two decades of his career,https://en.wikipedia.org/wiki/Jorge_Mendes
Lionel Messi,"World Cup champion, Inter Miami",Jorge Messi,his agent,family,Father and career-long agent,https://en.wikipedia.org/wiki/Jorge_Messi
Neymar,Brazilian football superstar,Neymar Santos Sr,his agent,family,Father and career-long agent,https://en.wikipedia.org/wiki/Neymar
Kylian Mbappe,Real Madrid and France captain,Fayza Lamari,his agent,family,Mother; manages his career,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9
Roger Federer,20-time Grand Slam champion,Tony Godsick,Team8 cofounder,agent,Longtime agent; cofounded Team8 and the Laver Cup with him,https://en.wikipedia.org/wiki/Roger_Federer
Tom Brady,7-time Super Bowl champion,Don Yee,sports agent,agent,Career-long agent,https://en.wikipedia.org/wiki/Don_Yee
Kim Kardashian,"Skims founder, media personality",Laura Wasser,family law attorney,attorney,Represented her in her 2022 divorce,https://en.wikipedia.org/wiki/Laura_Wasser
Kylie Jenner,Kylie Cosmetics founder,Kris Jenner,"manager, momager",family,Mother and manager,https://en.wikipedia.org/wiki/Kris_Jenner
Kendall Jenner,"supermodel, 818 Tequila founder",Kris Jenner,"manager, momager",family,Mother and manager,https://en.wikipedia.org/wiki/Kris_Jenner
MrBeast,most-subscribed YouTuber,Jeff Housenbold,Beast Industries CEO,executive,Hired in 2024 to run Beast Industries,https://en.wikipedia.org/wiki/Jeff_Housenbold
MrBeast,most-subscribed YouTuber,Karl Jacobs,YouTuber,colleague,Longtime on-camera crew member,https://en.wikipedia.org/wiki/Karl_Jacobs
Joe Rogan,most-listened podcaster,Jamie Vernon,producer known as Young Jamie,colleague,Longtime podcast producer,https://en.wikipedia.org/wiki/The_Joe_Rogan_Experience
Jake Paul,boxer and media personality,Nakisa Bidarian,Most Valuable Promotions cofounder,cofounder,Business partner; cofounded MVP boxing promotion,https://en.wikipedia.org/wiki/Nakisa_Bidarian
